Generation,Min,Max,Average
0,-1915.000000,374.000000,-397.937500
1,-2536.000000,216.000000,-486.562500
2,-2433.000000,187.000000,-643.562500
3,-2175.000000,141.000000,-643.500000
4,-2404.000000,27.000000,-745.812500
5,-1867.000000,139.000000,-578.500000
6,-2070.000000,125.000000,-579.562500
7,-2269.000000,148.000000,-768.437500
8,-2621.000000,292.000000,-808.875000
9,-2835.000000,192.000000,-1066.125000
10,-2939.000000,213.000000,-1103.437500
11,-2618.000000,309.000000,-722.750000
12,-2686.000000,119.000000,-926.187500
13,-2892.000000,213.000000,-879.062500
14,-2768.000000,139.000000,-1124.000000
15,-2918.000000,107.000000,-1177.375000
16,-2813.000000,72.000000,-1119.562500
17,-2764.000000,204.000000,-995.625000
18,-2715.000000,199.000000,-933.812500
19,-3051.000000,130.000000,-1101.375000
20,-2746.000000,26.000000,-1039.375000
21,-3043.000000,127.000000,-1202.375000
22,-2879.000000,10.000000,-1259.687500
23,-2977.000000,10.000000,-1133.937500
24,-2861.000000,140.000000,-1082.250000
25,-2828.000000,10.000000,-1060.937500
26,-3057.000000,10.000000,-1290.812500
27,-3152.000000,71.000000,-1265.875000
28,-3013.000000,10.000000,-1299.125000
29,-3056.000000,10.000000,-1467.125000
30,-3003.000000,54.000000,-1714.812500
31,-2977.000000,103.000000,-1788.625000
32,-3204.000000,-315.000000,-1835.125000
33,-3072.000000,-132.000000,-1558.625000
34,-3022.000000,-268.000000,-1653.875000
35,-3222.000000,-126.000000,-1809.812500
